input npy dir: truncate_500_5808/NPY/
cubic shape: (10, 20, 20)
Training examples: 5803, high 1793, low 1793
Testing examples: 645, high 223, low 223
epoch: 80
batch size: 32
keep prob: 0.500000
start time: 2018-08-18 10:54:43
accuracy is 0.654264, loss is 0.630239, epoch 0 time, consumed 13.36 seconds
accuracy is 0.869767, loss is 0.369832, epoch 27 time, consumed 11.80 seconds
accuracy is 0.868217, loss is 0.400966, epoch 28 time, consumed 12.02 seconds
accuracy is 0.875969, loss is 0.401608, epoch 29 time, consumed 11.79 seconds
accuracy is 0.868217, loss is 0.395535, epoch 30 time, consumed 11.33 seconds
accuracy is 0.868217, loss is 0.417644, epoch 31 time, consumed 11.57 seconds
accuracy is 0.877519, loss is 0.391703, epoch 32 time, consumed 11.27 seconds
accuracy is 0.863566, loss is 0.411047, epoch 33 time, consumed 11.73 seconds
accuracy is 0.866667, loss is 0.369267, epoch 34 time, consumed 11.54 seconds
accuracy is 0.852713, loss is 0.406137, epoch 35 time, consumed 11.84 seconds
accuracy is 0.855814, loss is 0.370559, epoch 36 time, consumed 11.88 seconds
accuracy is 0.866667, loss is 0.399860, epoch 37 time, consumed 11.98 seconds
accuracy is 0.871318, loss is 0.366499, epoch 38 time, consumed 11.73 seconds
accuracy is 0.869767, loss is 0.376204, epoch 39 time, consumed 11.13 seconds
accuracy is 0.869767, loss is 0.383152, epoch 40 time, consumed 11.65 seconds
accuracy is 0.874419, loss is 0.356957, epoch 41 time, consumed 11.62 seconds
accuracy is 0.852713, loss is 0.372544, epoch 42 time, consumed 12.28 seconds
accuracy is 0.871318, loss is 0.389414, epoch 43 time, consumed 12.00 seconds
accuracy is 0.860465, loss is 0.372533, epoch 44 time, consumed 11.65 seconds
accuracy is 0.852713, loss is 0.384377, epoch 45 time, consumed 10.95 seconds
accuracy is 0.852713, loss is 0.374960, epoch 46 time, consumed 10.91 seconds
accuracy is 0.858915, loss is 0.371353, epoch 47 time, consumed 11.49 seconds
accuracy is 0.866667, loss is 0.371383, epoch 48 time, consumed 11.84 seconds
accuracy is 0.855814, loss is 0.372646, epoch 49 time, consumed 11.71 seconds
accuracy is 0.857364, loss is 0.408190, epoch 50 time, consumed 11.93 seconds
accuracy is 0.872868, loss is 0.352211, epoch 51 time, consumed 11.73 seconds
accuracy is 0.865116, loss is 0.372061, epoch 52 time, consumed 12.03 seconds
accuracy is 0.872868, loss is 0.378277, epoch 53 time, consumed 11.59 seconds
accuracy is 0.848062, loss is 0.383787, epoch 54 time, consumed 11.68 seconds
accuracy is 0.871318, loss is 0.360480, epoch 55 time, consumed 11.45 seconds
accuracy is 0.831008, loss is 0.426746, epoch 56 time, consumed 11.86 seconds
accuracy is 0.869767, loss is 0.339885, epoch 57 time, consumed 11.94 seconds
accuracy is 0.869767, loss is 0.366279, epoch 58 time, consumed 11.72 seconds
accuracy is 0.866667, loss is 0.406210, epoch 59 time, consumed 11.72 seconds
accuracy is 0.858915, loss is 0.357953, epoch 60 time, consumed 11.10 seconds
accuracy is 0.868217, loss is 0.379813, epoch 61 time, consumed 12.14 seconds
accuracy is 0.869767, loss is 0.363346, epoch 62 time, consumed 11.69 seconds
accuracy is 0.866667, loss is 0.350721, epoch 63 time, consumed 11.87 seconds
accuracy is 0.862015, loss is 0.353518, epoch 64 time, consumed 11.93 seconds
accuracy is 0.848062, loss is 0.373009, epoch 65 time, consumed 11.30 seconds
accuracy is 0.868217, loss is 0.365521, epoch 66 time, consumed 11.46 seconds
accuracy is 0.857364, loss is 0.362919, epoch 67 time, consumed 11.56 seconds
accuracy is 0.857364, loss is 0.356222, epoch 68 time, consumed 11.57 seconds
accuracy is 0.846512, loss is 0.379882, epoch 69 time, consumed 11.84 seconds
accuracy is 0.862015, loss is 0.375938, epoch 70 time, consumed 11.55 seconds
accuracy is 0.868217, loss is 0.351086, epoch 71 time, consumed 11.73 seconds
accuracy is 0.862015, loss is 0.376810, epoch 72 time, consumed 11.92 seconds
accuracy is 0.868217, loss is 0.363822, epoch 73 time, consumed 11.59 seconds
accuracy is 0.866667, loss is 0.366674, epoch 74 time, consumed 11.61 seconds
accuracy is 0.868217, loss is 0.344735, epoch 75 time, consumed 11.80 seconds
accuracy is 0.869767, loss is 0.352163, epoch 76 time, consumed 11.72 seconds
accuracy is 0.860465, loss is 0.344517, epoch 77 time, consumed 11.69 seconds
accuracy is 0.851163, loss is 0.372492, epoch 78 time, consumed 11.91 seconds
accuracy is 0.844961, loss is 0.415734, epoch 79 time, consumed 12.00 seconds
training finshed. highest accuracy is 0.877519, the iterator is 32 
end time: 2018-08-18 11:11:18
