truncate between -1000 to 350, image[<-1000]=0, image[>350]=0
start time: 2018-08-16 18:25:47
cubic shape: (10, 20, 20)
Training examples: 3808, high 1812, low 1812
Testing examples: 424, high 204, low 204
epoch: 100
batch size: 32
accuracy  is 0.518868, loss is 0.688922, epoch 0 time, consumed 43.75 seconds
accuracy  is 0.832547, loss is 1.805541, epoch 77 time, consumed 100.84 seconds
accuracy  is 0.832547, loss is 1.809899, epoch 78 time, consumed 99.49 seconds
accuracy  is 0.832547, loss is 1.815777, epoch 79 time, consumed 105.49 seconds
accuracy  is 0.832547, loss is 1.820322, epoch 80 time, consumed 104.27 seconds
accuracy  is 0.832547, loss is 1.825175, epoch 81 time, consumed 105.16 seconds
accuracy  is 0.832547, loss is 1.829398, epoch 82 time, consumed 105.44 seconds
accuracy  is 0.832547, loss is 1.835156, epoch 83 time, consumed 103.86 seconds
accuracy  is 0.832547, loss is 1.839257, epoch 84 time, consumed 104.59 seconds
accuracy  is 0.832547, loss is 1.843861, epoch 85 time, consumed 106.19 seconds
accuracy  is 0.832547, loss is 1.847632, epoch 86 time, consumed 107.06 seconds
accuracy  is 0.832547, loss is 1.852074, epoch 87 time, consumed 106.56 seconds
accuracy  is 0.832547, loss is 1.856060, epoch 88 time, consumed 103.89 seconds
accuracy  is 0.832547, loss is 1.859999, epoch 89 time, consumed 103.41 seconds
accuracy  is 0.832547, loss is 1.864841, epoch 90 time, consumed 104.84 seconds
accuracy  is 0.832547, loss is 1.868385, epoch 91 time, consumed 106.22 seconds
accuracy  is 0.832547, loss is 1.872474, epoch 92 time, consumed 105.67 seconds
accuracy  is 0.832547, loss is 1.875380, epoch 93 time, consumed 105.16 seconds
accuracy  is 0.832547, loss is 1.879536, epoch 94 time, consumed 105.14 seconds
accuracy  is 0.832547, loss is 1.883150, epoch 95 time, consumed 104.07 seconds
accuracy  is 0.832547, loss is 1.886665, epoch 96 time, consumed 107.01 seconds
accuracy  is 0.832547, loss is 1.890316, epoch 97 time, consumed 105.06 seconds
accuracy  is 0.832547, loss is 1.893738, epoch 98 time, consumed 103.23 seconds
accuracy  is 0.832547, loss is 1.897015, epoch 99 time, consumed 103.66 seconds
training finshed. highest accuracy is 0.846698, the iterator is 12 
end time: 2018-08-16 20:38:21
