truncate between -1000 to 600, image[<-1000]=0, image[>600]=0
start time: 2018-08-16 22:38:27
cubic shape: (10, 20, 20)
Training examples: 3808, high 1812, low 1812
Testing examples: 424, high 204, low 204
epoch: 100
batch size: 32
accuracy  is 0.518868, loss is 0.691785, epoch 0 time, consumed 133.27 seconds
accuracy  is 0.837264, loss is 1.054622, epoch 33 time, consumed 102.10 seconds
accuracy  is 0.841981, loss is 1.291040, epoch 34 time, consumed 98.95 seconds
accuracy  is 0.823113, loss is 1.097148, epoch 35 time, consumed 98.78 seconds
accuracy  is 0.837264, loss is 0.857540, epoch 36 time, consumed 101.22 seconds
accuracy  is 0.825472, loss is 1.234482, epoch 37 time, consumed 98.36 seconds
accuracy  is 0.827830, loss is 1.316863, epoch 38 time, consumed 97.12 seconds
accuracy  is 0.823113, loss is 1.300048, epoch 39 time, consumed 99.39 seconds
accuracy  is 0.834906, loss is 1.462681, epoch 40 time, consumed 99.55 seconds
accuracy  is 0.827830, loss is 1.316403, epoch 41 time, consumed 97.99 seconds
accuracy  is 0.827830, loss is 1.553562, epoch 42 time, consumed 100.33 seconds
accuracy  is 0.837264, loss is 1.423917, epoch 43 time, consumed 100.33 seconds
accuracy  is 0.825472, loss is 1.393187, epoch 44 time, consumed 98.70 seconds
accuracy  is 0.825472, loss is 1.442472, epoch 45 time, consumed 99.46 seconds
accuracy  is 0.827830, loss is 1.571564, epoch 46 time, consumed 98.41 seconds
accuracy  is 0.823113, loss is 1.096300, epoch 47 time, consumed 97.59 seconds
accuracy  is 0.825472, loss is 0.991403, epoch 48 time, consumed 99.82 seconds
accuracy  is 0.841981, loss is 1.115215, epoch 49 time, consumed 99.42 seconds
accuracy  is 0.823113, loss is 1.334928, epoch 50 time, consumed 101.65 seconds
accuracy  is 0.830189, loss is 1.174413, epoch 51 time, consumed 98.65 seconds
accuracy  is 0.827830, loss is 1.352533, epoch 52 time, consumed 97.64 seconds
accuracy  is 0.806604, loss is 1.157108, epoch 53 time, consumed 99.31 seconds
accuracy  is 0.834906, loss is 1.246276, epoch 54 time, consumed 99.19 seconds
accuracy  is 0.820755, loss is 1.323197, epoch 55 time, consumed 98.25 seconds
accuracy  is 0.813679, loss is 1.463150, epoch 56 time, consumed 98.15 seconds
accuracy  is 0.830189, loss is 1.699011, epoch 57 time, consumed 101.06 seconds
accuracy  is 0.820755, loss is 1.444175, epoch 58 time, consumed 99.47 seconds
accuracy  is 0.827830, loss is 1.531293, epoch 59 time, consumed 100.75 seconds
accuracy  is 0.834906, loss is 1.603812, epoch 60 time, consumed 97.30 seconds
accuracy  is 0.837264, loss is 1.646662, epoch 61 time, consumed 96.93 seconds
accuracy  is 0.834906, loss is 1.657482, epoch 62 time, consumed 97.08 seconds
accuracy  is 0.837264, loss is 1.717599, epoch 63 time, consumed 100.44 seconds
accuracy  is 0.837264, loss is 1.765559, epoch 64 time, consumed 99.75 seconds
accuracy  is 0.837264, loss is 1.798294, epoch 65 time, consumed 100.71 seconds
accuracy  is 0.834906, loss is 1.825030, epoch 66 time, consumed 98.98 seconds
accuracy  is 0.834906, loss is 1.834005, epoch 67 time, consumed 98.86 seconds
accuracy  is 0.834906, loss is 1.850755, epoch 68 time, consumed 101.05 seconds
accuracy  is 0.834906, loss is 1.864906, epoch 69 time, consumed 101.09 seconds
accuracy  is 0.834906, loss is 1.877351, epoch 70 time, consumed 101.80 seconds
accuracy  is 0.834906, loss is 1.884712, epoch 71 time, consumed 98.81 seconds
accuracy  is 0.834906, loss is 1.896527, epoch 72 time, consumed 99.47 seconds
accuracy  is 0.834906, loss is 1.905823, epoch 73 time, consumed 100.63 seconds
accuracy  is 0.834906, loss is 1.916337, epoch 74 time, consumed 98.40 seconds
accuracy  is 0.834906, loss is 1.921781, epoch 75 time, consumed 103.11 seconds
accuracy  is 0.834906, loss is 1.932525, epoch 76 time, consumed 99.66 seconds
accuracy  is 0.834906, loss is 1.940817, epoch 77 time, consumed 99.02 seconds
accuracy  is 0.834906, loss is 1.949153, epoch 78 time, consumed 99.08 seconds
accuracy  is 0.834906, loss is 1.954749, epoch 79 time, consumed 97.96 seconds
accuracy  is 0.834906, loss is 1.962396, epoch 80 time, consumed 101.43 seconds
accuracy  is 0.834906, loss is 1.970008, epoch 81 time, consumed 99.29 seconds
accuracy  is 0.834906, loss is 1.976168, epoch 82 time, consumed 99.42 seconds
accuracy  is 0.834906, loss is 1.984136, epoch 83 time, consumed 101.13 seconds
accuracy  is 0.834906, loss is 1.988850, epoch 84 time, consumed 99.87 seconds
accuracy  is 0.834906, loss is 1.995262, epoch 85 time, consumed 99.92 seconds
accuracy  is 0.834906, loss is 1.999837, epoch 86 time, consumed 101.22 seconds
accuracy  is 0.834906, loss is 2.006473, epoch 87 time, consumed 100.75 seconds
accuracy  is 0.834906, loss is 2.010522, epoch 88 time, consumed 98.55 seconds
accuracy  is 0.834906, loss is 2.017455, epoch 89 time, consumed 97.03 seconds
accuracy  is 0.834906, loss is 2.022431, epoch 90 time, consumed 101.40 seconds
accuracy  is 0.834906, loss is 2.026897, epoch 91 time, consumed 97.62 seconds
accuracy  is 0.834906, loss is 2.031902, epoch 92 time, consumed 98.56 seconds
accuracy  is 0.834906, loss is 2.037138, epoch 93 time, consumed 99.58 seconds
accuracy  is 0.834906, loss is 2.042452, epoch 94 time, consumed 102.31 seconds
accuracy  is 0.834906, loss is 2.046511, epoch 95 time, consumed 103.49 seconds
accuracy  is 0.834906, loss is 2.051370, epoch 96 time, consumed 100.16 seconds
accuracy  is 0.834906, loss is 2.054548, epoch 97 time, consumed 100.82 seconds
accuracy  is 0.834906, loss is 2.059525, epoch 98 time, consumed 100.50 seconds
accuracy  is 0.834906, loss is 2.064042, epoch 99 time, consumed 102.44 seconds
training finshed. highest accuracy is 0.841981, the iterator is 19 
end time: 2018-08-17 01:31:09
